,acc_num,eppi_id,short_title,title,journal,year,date_assessed,include,reason,country,geographic_region,site_details,comparator,wetland_class,saline_or_freshwater,disturbance_category,disturbance_type,restoration_time_period,restoration_activity,time_since_restoration
1,A1,2,Poulin et al 2013,A New Approach for Tracking Vegetation Change after Restoration: A Case Study with Peatlands,Restoration Ecology,2013,01-Mar-23,Y,,Canada,Quebec,Bois-de-Bel,,peatland,freshwater,Biological resource use,Horticultural peat extraction,1999,Moss layer transfer technique,1 to 7 years 
2,A3,5,Able et al 2000,Initial response of fishes to marsh restoration at a former salt hay farm bordering Delaware Bay,Concepts and controversies in tidal marsh ecology,2000,02-Nov-23,Y,,USA,New Jersey,Delaware Bay,,marsh,saline,Agriculture and aquaculture,Salt hay farm,1996,"Opening up dikes, created channels",< 1 year
3,A4,6,Able et al 2003,Mechanisms of marsh habitat alteration due to phragmites: Response of young-of-the-year Mummichog (Fundulus heteroclitus) to treatment for Phragmites removal,Estuaries,2003,02-Nov-23,Y,,USA,New Jersey,Delaware Bay,,marsh,saline,Invasive and other problematic species/genes,Invasive species (Phragmites),1996-1998,Invasive species control; Rodeo herbicide and burning (phragmites),2-4 years
4,A5,7,Able et al 2004,Evaluating salt marsh restoration in Delaware Bay: Analysis of fish response at former salt hay farms,Estuaries,2004,02-Nov-23,Y,,USA,New Jersey,Delaware Bay,,marsh,saline,Agriculture and aquaculture,Salt hay farm,"1996 (Dennis Township), 1997 (Commercial Township)","Opening up dikes, created channels",1-2 years
5,A6,8,Able et al 2008,Long-term response of fishes and other fauna to restoration of former salt hay farms: multiple measures of restoration success,Rev Fish Biol Fisheries,2008,02-Nov-23,Y,,USA,New Jersey,Delaware Bay,,marsh,saline,Agriculture and aquaculture,Salt hay farm,"1996 (Dennis Township), 1997 (Commercial Township)","Opening up dikes, created channels",1-8 years
6,A9,16,Aldous et al 2005,Hydrologic regime controls soil phosphorus fluxes in restoration and undisturbed wetlands,Restoration Ecology,2005,09-Nov-23,Y,,USA,Oregon,Upper Klamath Lake,,marsh,freshwater,Agriculture and aquaculture,Drained for agriculture,"1997,1998,1998, respectively",Reflooding,"87, 58, 38"
7,A12,30,Anderson et al 2006,The physicochemical and microbiological status of a restored bog in Quebec: Identification of relevant criteria to monitor success,Soil Biology and Biochemistry,2006,09-Nov-23,Y,,Canada,Quebec,Bois-de-Bel,,peatland,freshwater,Biological resource use,Drained and vacuumed harvest then abandoned for 20 years,1999,"Plant fragments added, blocking drainage ditches, P fertilization",4 years
8,A13,31,Anderson et al 2010,"Peat, Water and Plant Tissue Chemistry Monitoring: A Seven-Year Case-Study in a Restored Peatland",Wetlands,2010,10-Nov-23,Y,,Canada,Quebec,Bois-de-Bel,,peatland,freshwater,Biological resource use,Drained and vacuumed harvest then abandoned for 20 years,1999,"Sphagnum moss layer transfer, drainage ditch blocked, P fertilization",1 - 7 years
9,A14,32,Anderson et al 2010,Changes in microbial community structure and function following Sphagnum peatland restoration,Soil Biology and Biochemistry,2010,10-Nov-23,Y,,Canada,Quebec,Bois-de-Bel,,peatland,freshwater,Biological resource use,Drained and vacuumed harvest then abandoned for 20 years,1999,"Sphagnum moss layer transfer, drainage ditch blocked, P fertilization",7 years
10,A15,33,Anderson et al 2013,Nutrient mineralisation and microbial functional diversity in a restored bog approach natural conditions 10 years post restoration,Soil Biology and Biochemistry,2013,13-Nov-23,Y,,Canada,Quebec,Bois-de-Bel,,peatland,freshwater,Biological resource use,Drained and vacuumed harvest then abandoned for 20 years,1999,"Sphagnum moss layer transfer, drainage ditch blocked, P fertilization",7 years
11,A16,40,Anderson et al 2017,Restoring Woody-Encroached Savanna and Cattail-Invaded Wetlands Using Prescribed Burning and Grazing,Masters Thesis,2017,13-Nov-23,Y,,USA,Minnesota,Sherburne National Wildlife Regufe,,marsh,freshwater,Invasive and other problematic species/genes,Invasive species (Typha),2014,"Imazapyr application, prescribed burn, cattle grazing",1-2 years
12,A17,41,Anderson and Rooney 2019,"Differences exist in bird communities using restored and natural wetlands in the Parkland region, Alberta, Canada",Restoration Ecology,2019,13-Nov-23,Y,,Canada,Alberta,Parkland Natural Region,,marsh,freshwater,Agriculture and aquaculture,Agriculture,2005 to 2012,"DUC constructed berms, blocking agricultural surface ditches",3-10 years
13,A18,42,Andras et al 2020,Rewilding the small stuff: the effect of ecological restoration on prokaryotic communities of peatland soils,Microbial Ecology,2020,13-Nov-23,Y,,USA,Massachusetts,Eel River Headwaters Preserve,,wetland,freshwater,Agriculture and aquaculture,Cranberry farm,2010,"Dam/ditch/culvert removal, reconstruction stream channel and flood plain, native plants and woody debris, pit and mound excavation",4 years
14,A19,43,Anisfeld et al 1999,Sedimentation rates in flow-restricted and restored salt marshes in Long Island Sound,Estuaries,1999,13-Nov-23,Y,,USA,Connecticut,Long Island Sound,,marsh,saline,Natural system modification,Restricted flow,mid-1970s,Removal of flow restrictions,20 years
15,A21,45,Anthony and Silver 2020,Mineralogical associations with soil carbon in managed wetland soils,Global Change Biology,2020,13-Nov-23,Y,,USA,California,Sacramento-San Joaquin Delta,,,,Agriculture and aquaculture,Drained for agriculture (corn),"1997, 2010, 2014",Reflooded,
16,A23,47,Ardon et al 2010,Phosphorus export from a restored wetland ecosystem in response to natural and experimental hydrologic fluctuations,Journal of Geophysical Research,2010,14-Nov-23,Y,,USA,North Carolina,Timberlake Restoration Project,,swamp,freshwater,Agriculture and aquaculture,Agriculture (corn),2004-2007,"Restored hydrology (ditch filling/blocking canal/connecting flow), planting trees, disabled gate-pump",1-2 years
17,A24,49,Armitage 2003,Community structure and trophic interactions in restored and natural estuarine mudflats: Complex trophic cascades and positive and negative effects of nutrients,PhD Thesis,2003,14-Nov-23,Y,,USA,California,Mugu Lagoon,,marsh,saline,Natural system modification,Wetland filled to upland vegetation 1950,1997-1998,"Dredged to tidal elevation, graded, planted native species",0-3 years
18,A25,50,Armitage et al 2007,Wintering shorebird assemblages and behavior in restored tidal wetlands in southern California,Restoration Ecology,2007,14-Nov-23,Y,,USA,California,Mugu Lagoon,,marsh,saline,Natural system modification,Wetland filled to upland vegetation in 1950s,1995-1997,Dredged and reopened to tidal flow (5 wetlands all slightly different approaches),5-7 years
19,A26,51,Armitage et al 2014,The influence of habitat construction technique on the ecological characteristics of a restored brackish marsh,Ecological Engineering,2014,14-Nov-23,Y,,USA,Texas,Texas Parks and Wildlife Department's Old River Unit of the Lower Neches Wildlife Management Area,,marsh,freshwater,Human intrusion and disturbance,"Human activities and natural processes (e.g., hurricanes) resulted in tidal inundation that changed the freshwater wetlands","1997 & 2007, 2008","Elevation restored, plugs to limit salt water intrusion, terracing, planted with native plants",1-2 years
20,A27,52,Armitage et al 2021,Perspectives on Maximizing Coastal Wetland Restoration Outcomes in Anthropogenically Altered Ecosystems,Estuaries and Coasts,2021,15-Nov-23,Y,,USA,Texas,Chenier Plains,,marsh,freshwater,Not specified,Not specified,2008-2011,"Excavated marshes, mound/terrace formation, native plants planted",4-7 years
21,A28,55,Artigas et al 2015,Long term carbon storage potential and CO2 sink strength of a restored salt marsh in New Jersey,Agricultural and Forest Meteorology,2015,15-Nov-23,Y,,USA,New Jersey,Secaucus High School Wetlands Enhancement Site,,marsh,saline,Invasive and other problematic species/genes,Invasive species (Phragmites),NR,"Excavated marsh sediment, constructed high marsh areas, planted native species",NR
22,A30,58,Ashworth 1997,Comparison between restored and reference sedge meadow wetlands in south-central Wisconsin,Wetlands,1997,15-Nov-23,Y,,USA,Wisconsin,Monona Wetland Conservancy,,marsh,freshwater,Transportation and service corridors,Highway construction,1986,"Removal of sand/foundry, replaced with wetland substrate",5 years
23,A31,66,Badiou et al 2011,Greenhouse gas emissions and carbon sequestration potential in restored wetlands of the Canadian prairie pothole region,Wetlands Ecol Manage,2011,20-Nov-23,Y,,Canada,Prairie Pothole Region,"Alberta, Saskatchewan, Manitoba (Fig. 1, PPR)",,marsh,freshwater,Agriculture and aquaculture,Drained for agriculture,<5 or >5 years in 2003,Not stated,<5 or > 5 years
24,A34,70,Ballantine and Schneider2009,Fifty-five years of soil development in restored freshwater depressional wetlands,Ecological Applications,2009,27-Nov-23,Y,,USA,New York,NA,,marsh,freshwater,Agriculture and aquaculture,Agriculture (previously drained),"1948-1970, 1990-2005",unspecified,3-55 years
25,A36,74,Ballantine et al 2017,Restoration of denitrification in agricultural wetlands,Ecological Engineering,2017,29-Nov-23,Y,,USA,Massachusetts,"Rocky Pond Bog, Tidmarsh Farm, Eel River Preserve","Disturbed, Restored, Reference",bog,freshwater,Agriculture and aquaculture,Cranberry farm,2011,"Stream reconstruction, placement of in-stream habitat features, filling artificial side channels, removal of berms/water control structures, replacement of undersized culverts",3 years
